variant	bin_name	phase3_dist	phase4_mode	calc_variant	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	1	1	OK	0	818.786	1983.66	2818.17	2823	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np1_rep1_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np1_rep1_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	1	2	OK	0	768.222	1972.86	2756.82	2761	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np1_rep2_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np1_rep2_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	1	3	OK	0	763.946	1971.53	2751.19	2754	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np1_rep3_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np1_rep3_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	2	1	OK	0	348.271	1026.09	1391.3	1394	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np2_rep1_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np2_rep1_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	2	2	OK	0	348.058	1026.11	1390.12	1392	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np2_rep2_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np2_rep2_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	2	3	OK	0	348.172	1026.14	1390.22	1392	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np2_rep3_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np2_rep3_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	4	1	OK	0	145.134	741.56	903.429	906	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np4_rep1_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np4_rep1_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	4	2	OK	0	145.537	741.496	903.763	906	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np4_rep2_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np4_rep2_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	4	3	OK	0	145.375	741.315	903.427	906	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np4_rep3_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np4_rep3_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	8	1	OK	0	86.6916	641.345	744.899	748	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np8_rep1_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np8_rep1_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	8	2	OK	0	87.2316	641.183	745.282	750	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np8_rep2_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np8_rep2_8387520
block_pipeline_calcbase	protspam_block_pipeline_calcbase	block	pipeline	calcbase	8387520	1	64	55	8	3	OK	0	87.2583	641.18	745.293	748	65536	ilk-236	logs_variants_55/block_pipeline_calcbase_55sp_np8_rep3_8387520.log	results_variants_55/DMat_block_pipeline_calcbase_55sp_np8_rep3_8387520
