variant	bin_name	phase3_dist	phase4_mode	calc_variant	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	1	1	OK	0	767.385	2863.62	3646.55	3650	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np1_rep1_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np1_rep1_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	1	2	OK	0	762.057	2863.12	3640.91	3644	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np1_rep2_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np1_rep2_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	1	3	OK	0	762.648	2867.14	3645.47	3650	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np1_rep3_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np1_rep3_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	2	1	OK	0	348.513	1027.55	1393	1395	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np2_rep1_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np2_rep1_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	2	2	OK	0	348.778	1025.91	1390.62	1393	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np2_rep2_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np2_rep2_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	2	3	OK	0	348.549	1025.89	1390.33	1393	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np2_rep3_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np2_rep3_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	4	1	OK	0	145.534	741.141	903.381	906	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np4_rep1_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np4_rep1_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	4	2	OK	0	145.306	741.261	903.272	905	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np4_rep2_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np4_rep2_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	4	3	OK	0	145.666	741.019	903.406	906	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np4_rep3_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np4_rep3_8390281
block_pipeline_calcopt	protspam_block_pipeline_calcopt	block	pipeline	calcopt	8390281	1	64	55	8	1	OK	0	87.3458	641.223	745.39	748	65536	ilk-125	logs_variants_55/block_pipeline_calcopt_55sp_np8_rep1_8390281.log	results_variants_55/DMat_block_pipeline_calcopt_55sp_np8_rep1_8390281
