variant	bin_name	phase3_dist	phase4_mode	calc_variant	batch_size	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	1	1	OK	0	771.572	1976.74	2764.14	2769	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np1_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np1_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	1	2	OK	0	760.252	1971.92	2747.83	2751	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np1_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np1_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	1	3	OK	0	759.501	1968.94	2743.99	2748	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np1_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np1_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	2	1	OK	0	349.39	1292.99	1659.32	1661	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np2_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np2_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	2	2	OK	0	350.338	1291.98	1658.2	1662	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np2_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np2_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	2	3	OK	0	350.672	1292.1	1658.62	1662	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np2_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np2_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	4	1	OK	0	146.738	998.544	1161.97	1165	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np4_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np4_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	4	2	OK	0	146.654	998.256	1161.56	1165	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np4_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np4_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	4	3	OK	0	146.679	998.217	1161.57	1164	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np4_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np4_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	8	1	OK	0	88.1226	753.688	858.613	863	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np8_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np8_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	8	2	OK	0	88.1869	753.993	858.945	863	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np8_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np8_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	8	3	OK	0	88.2617	753.969	859.004	862	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np8_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np8_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	16	1	OK	0	55.1469	511.755	583.349	588	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np16_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np16_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	16	2	OK	0	54.988	511.757	583.412	587	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np16_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np16_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	16	3	OK	0	55.1097	511.904	583.454	587	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np16_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np16_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	32	1	OK	0	27.0579	415.966	459.039	465	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np32_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np32_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	32	2	OK	0	27.1214	416.76	460.232	465	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np32_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np32_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	32	3	OK	0	27.0876	415.833	458.975	464	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np32_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np32_rep3_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	64	1	FAIL	137	NA	NA	NA	49	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np64_rep1_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np64_rep1_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	64	2	FAIL	137	NA	NA	NA	52	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np64_rep2_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np64_rep2_8429557
block_pipeline_metacache_batch2_calcbase	protspam_block_pipeline_metacache_batch_calcbase	block	pipeline_metacache_batch2	calcbase	2	8429557	1	64	55	64	3	FAIL	137	NA	NA	NA	51	65536	ilk-165	logs_variants_55/block_pipeline_metacache_batch2_calcbase_55sp_np64_rep3_8429557.log	results_variants_55/DMat_block_pipeline_metacache_batch2_calcbase_55sp_np64_rep3_8429557
