variant	bin_name	phase3_dist	phase4_mode	calc_variant	batch_size	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	1	1	OK	0	786.948	1978.58	2781.1	2785	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep1_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep1_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	1	2	OK	0	773.024	1983.91	2772.5	2776	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep2_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep2_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	1	3	OK	0	768.874	1973.12	2757.59	2762	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep3_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np1_rep3_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	2	1	OK	0	349.908	1266.06	1633.11	1635	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep1_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep1_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	2	2	OK	0	350.47	1266.19	1632.58	1635	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep2_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep2_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	2	3	OK	0	350.277	1267.61	1633.78	1636	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep3_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np2_rep3_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	4	1	OK	0	146.832	1000.11	1163.61	1166	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep1_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep1_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	4	2	OK	0	146.862	1000	1163.53	1168	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep2_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep2_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	4	3	OK	0	146.788	1000.46	1163.92	1166	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep3_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np4_rep3_8413351
block_pipeline_metacache_idxmap_batch4_calcbase	protspam_block_pipeline_metacache_idxmap_batch_calcbase	block	pipeline_metacache_idxmap_batch4	calcbase	4	8413351	1	64	55	8	1	OK	0	88.422	698.67	803.907	807	65536	ilk-111	logs_variants_55/block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np8_rep1_8413351.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_batch4_calcbase_55sp_np8_rep1_8413351
