variant	bin_name	phase3_dist	phase4_mode	calc_variant	batch_size	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	1	1	OK	0	791.241	1978.93	2786.15	2791	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep1_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep1_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	1	2	OK	0	765.392	1981.33	2762.27	2766	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep2_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep2_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	1	3	OK	0	765.072	1971.38	2751.78	2755	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep3_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np1_rep3_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	2	1	OK	0	350.048	1019.51	1386.18	1389	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep1_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep1_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	2	2	OK	0	350.04	1019.78	1385.76	1388	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep2_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep2_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	2	3	OK	0	350.632	1020.03	1386.59	1390	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep3_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np2_rep3_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	4	1	OK	0	147.152	720.745	884.616	887	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep1_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep1_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	4	2	OK	0	147.066	721.066	884.841	887	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep2_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep2_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	4	3	OK	0	147.079	721.159	884.943	887	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep3_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np4_rep3_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	8	1	OK	0	88.2345	592.807	697.883	701	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np8_rep1_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np8_rep1_8413340
block_pipeline_metacache_idxmap_calcbase	protspam_block_pipeline_metacache_idxmap_calcbase	block	pipeline_metacache_idxmap	calcbase	NA	8413340	1	64	55	8	2	OK	0	88.1359	592.749	697.736	700	65536	ilk-75	logs_variants_55/block_pipeline_metacache_idxmap_calcbase_55sp_np8_rep2_8413340.log	results_variants_55/DMat_block_pipeline_metacache_idxmap_calcbase_55sp_np8_rep2_8413340
