version	mode	job_id	nodes	ntasks_alloc	ntasks_per_node	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	10	32	1	OK	0	19.1058	30.2719	52.1401	56	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_10sp_np32_rep1_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_10sp_np32_rep1_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	10	32	2	OK	0	19.1865	29.904	51.7908	55	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_10sp_np32_rep2_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_10sp_np32_rep2_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	10	32	3	OK	0	19.0643	29.7527	51.5303	54	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_10sp_np32_rep3_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_10sp_np32_rep3_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	10	32	4	OK	0	19.1385	30.1835	52.0158	56	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_10sp_np32_rep4_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_10sp_np32_rep4_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	10	32	5	OK	0	19.1157	29.8535	51.6441	54	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_10sp_np32_rep5_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_10sp_np32_rep5_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	20	32	1	OK	0	69.836	159.632	235.905	239	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_20sp_np32_rep1_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_20sp_np32_rep1_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	20	32	2	OK	0	69.597	166.641	242.573	246	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_20sp_np32_rep2_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_20sp_np32_rep2_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	20	32	3	OK	0	69.6033	171.274	247.224	250	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_20sp_np32_rep3_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_20sp_np32_rep3_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	20	32	4	OK	0	69.3242	163.993	239.703	245	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_20sp_np32_rep4_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_20sp_np32_rep4_8110815
pipeline_runlen_commopt	node-scaling	8110815	8	32	4	20	32	5	OK	0	69.8346	163.541	239.721	243	32768	ilk-[101-103,115,118,121,131,136]	logs_phase4_nodes_64g/pipeline_runlen_commopt_nodes8_20sp_np32_rep5_8110815.log	results_phase4_nodes_64g/DMat_pipeline_runlen_commopt_nodes8_20sp_np32_rep5_8110815
