version	mode	job_id	nodes	ntasks_alloc	species	np	rep	status	exit_code	t_phase3_s	t_phase4_s	t_total_program_s	elapsed_seconds	mem_per_node	nodelist	log_file	output_file
pipeline_runlen_commopt	single-node	8082188	1	32	10	1	1	OK	0	107.661	65.7065	175.77	178	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np1_rep1_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np1_rep1_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	1	2	OK	0	107.782	65.5988	175.708	178	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np1_rep2_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np1_rep2_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	1	3	OK	0	107.504	65.6512	175.479	177	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np1_rep3_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np1_rep3_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	1	4	OK	0	107.711	65.0344	175.068	177	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np1_rep4_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np1_rep4_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	1	5	OK	0	107.685	65.4872	175.501	178	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np1_rep5_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np1_rep5_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	2	1	OK	0	53.1645	32.2016	87.8722	90	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np2_rep1_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np2_rep1_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	2	2	OK	0	53.2527	32.0974	87.8611	90	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np2_rep2_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np2_rep2_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	2	3	OK	0	53.0509	32.2462	87.8019	90	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np2_rep3_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np2_rep3_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	2	4	OK	0	53.2365	32.1091	87.8618	90	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np2_rep4_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np2_rep4_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	2	5	OK	0	53.2282	31.7335	87.4689	89	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np2_rep5_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np2_rep5_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	4	1	OK	0	28.1795	25.889	56.5972	59	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np4_rep1_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np4_rep1_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	4	2	OK	0	28.0391	25.9745	56.5479	59	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np4_rep2_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np4_rep2_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	4	3	OK	0	28.1739	25.9078	56.6125	60	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np4_rep3_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np4_rep3_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	4	4	OK	0	28.1757	25.9123	56.6207	59	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np4_rep4_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np4_rep4_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	4	5	OK	0	28.1089	25.9337	56.5766	59	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np4_rep5_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np4_rep5_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	8	1	OK	0	19.2704	27.9997	49.6692	53	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np8_rep1_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np8_rep1_8082188
pipeline_runlen_commopt	single-node	8082188	1	32	10	8	2	OK	0	19.2626	28.1579	49.8178	52	65536	ilk-151	logs_phase4_single_64g/pipeline_runlen_commopt_single_10sp_np8_rep2_8082188.log	results_phase4_single_64g/DMat_pipeline_runlen_commopt_single_10sp_np8_rep2_8082188
